CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus
50001,1,4,Mobile Phone,3,6,Debit Card,Female,3,3,Laptop & Accessory,2,Single
50002,1,,Phone,1,8,UPI,Male,3,4,Mobile,3,Single
50003,1,,Phone,1,30,Debit Card,Male,2,4,Mobile,3,Single
50004,1,0,Phone,3,15,Debit Card,Male,2,4,Laptop & Accessory,5,Single
50005,1,0,Phone,1,12,CC,Male,,3,Mobile,5,Single
50006,1,0,Computer,1,22,Debit Card,Female,3,5,Mobile Phone,5,Single
50007,1,,Phone,3,11,Cash on Delivery,Male,2,3,Laptop & Accessory,2,Divorced
50008,1,,Phone,1,6,CC,Male,3,3,Mobile,2,Divorced
50009,1,13,Phone,3,9,E wallet,Male,,4,Mobile,3,Divorced
50010,1,,Phone,1,31,Debit Card,Male,2,5,Mobile,3,Single
50011,1,4,Mobile Phone,1,18,Cash on Delivery,Female,2,3,Others,3,Divorced
50012,1,11,Mobile Phone,1,6,Debit Card,Male,3,4,Fashion,3,Single
50013,1,0,Phone,1,11,COD,Male,2,3,Mobile,3,Single
50014,1,0,Phone,1,15,CC,Male,3,4,Mobile,3,Divorced
50015,1,9,Mobile Phone,3,15,Credit Card,Male,3,4,Fashion,2,Single
50016,1,,Phone,2,12,UPI,Male,3,3,Mobile,5,Married
50017,1,0,Computer,1,12,Debit Card,Female,,4,Mobile,2,Single
50018,1,0,Mobile Phone,3,11,E wallet,Male,2,4,Laptop & Accessory,3,Single
50019,1,0,Computer,1,13,Debit Card,Male,3,5,Laptop & Accessory,3,Single
50020,1,19,Mobile Phone,1,20,Debit Card,Female,3,3,Mobile Phone,4,Divorced
50021,1,0,Mobile Phone,3,12,Debit Card,Male,3,5,Laptop & Accessory,3,Divorced
50022,1,20,Mobile Phone,1,29,Credit Card,Female,3,3,Fashion,2,Divorced
50023,1,,Mobile Phone,3,28,E wallet,Male,2,3,Mobile Phone,3,Single
50024,1,0,Phone,3,26,Debit Card,Female,3,5,Laptop & Accessory,3,Divorced
50025,1,14,Computer,1,14,Debit Card,Male,2,5,Fashion,2,Single
50026,1,0,Phone,1,15,Credit Card,Female,2,3,Mobile Phone,5,Single
50027,0,8,Mobile Phone,3,6,E wallet,Male,3,3,Fashion,4,Divorced
