CustomerID,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
50001,9,1,11,1,1,5,160
50002,7,1,15,0,1,0,121
50003,6,1,14,0,1,3,120
50004,8,0,23,0,1,3,134
50005,3,0,11,1,1,3,130
50006,2,1,22,4,6,7,139
50007,4,0,14,0,1,0,121
50008,3,1,16,2,2,0,123
50009,2,1,14,0,1,2,127
50010,2,0,12,1,1,1,123
50011,2,0,,9,15,8,295
50012,10,1,13,0,1,0,154
50013,2,1,13,2,2,2,134
50014,1,1,17,0,1,0,134
50015,2,0,16,0,4,7,196
50016,5,1,22,1,1,2,121
50017,2,1,18,1,1,0,129
50018,2,1,11,1,1,3,157
50019,2,1,24,1,1,6,161
50020,10,1,18,1,4,3,150
50021,5,1,18,6,7,7,162
50022,2,0,12,11,15,6,203
50023,2,1,19,0,1,0,117
50024,4,1,11,1,2,2,146
50025,3,0,15,0,1,3,207
50026,8,0,22,1,1,4,142
50027,2,0,13,1,1,6,173
50028,3,1,20,0,4,5,123
50029,9,0,18,1,1,15,123
50030,2,0,14,2,3,7,190
50031,2,0,13,0,1,9,143
50032,3,0,17,1,1,0,161
50033,5,1,20,1,1,0,133
50034,8,0,11,2,2,11,209
50035,7,0,18,1,1,2,122
50036,2,0,24,0,2,2,123
50037,7,0,18,0,2,2,120
50038,2,0,11,0,1,2,127
50039,4,1,16,1,1,4,194
50040,2,1,15,0,1,1,126
50041,4,0,,2,4,4,299
50042,5,0,12,1,1,8,125
50043,3,0,12,2,7,4,194
50044,5,0,22,1,1,1,187
50045,4,0,20,0,1,4,130
50046,1,1,16,1,1,1,131
50047,1,0,21,1,1,0,123
50048,5,0,12,4,7,2,121
50049,2,0,11,0,6,10,131
50050,5,1,11,0,1,3,150
50051,5,1,18,1,2,2,143
50052,1,0,14,0,1,2,125
50053,2,0,22,0,1,0,111
50054,2,0,25,4,15,7,205
50055,2,0,12,1,2,1,123
50056,9,1,23,1,1,2,139
50057,3,0,15,1,1,2,123
50058,2,1,22,0,1,2,131
50059,3,0,15,0,1,2,137
50060,2,0,11,1,1,3,145
50061,2,0,13,0,1,6,128
50062,2,0,14,,9,9,290
50063,9,0,11,,2,15,287
50064,2,0,17,0,1,9,195
50065,4,0,18,0,,0,237
50066,1,0,,1,11,9,300
50067,2,0,16,1,1,3,123
50068,4,1,13,1,1,1,159
50069,5,0,14,0,2,2,121
50070,10,0,23,,11,8,268
50071,2,1,12,0,1,7,136
50072,6,0,11,1,1,2,144
50073,3,0,16,0,1,2,153
50074,10,0,14,0,1,0,166
